"eventDate","count"
2006-09-01,1
2008-07-01,2
2008-08-01,1
2009-05-01,1
2010-05-01,5
2010-06-01,2
2010-07-01,3
2011-08-01,1
2011-09-01,2
2011-11-01,14
2012-07-01,1
2012-08-01,21
2012-12-01,2
2013-05-01,1
2013-07-01,1
2013-08-01,3
2013-10-01,18
2014-04-01,2
2014-05-01,1
2014-11-01,2
2015-08-01,22
2015-12-01,7
2016-07-01,1
2016-08-01,4
2016-09-01,4
2017-01-01,2
2017-03-01,1
2017-08-01,3
2018-01-01,3
2018-02-01,3
2018-04-01,5
2018-07-01,1
2018-08-01,1
2018-09-01,18
2018-10-01,1
2018-11-01,11
2018-12-01,9
2019-07-01,20
2019-08-01,37
2019-09-01,2
2019-10-01,35
