"longitudeDecimal","latitudedecimal","count"
-59.25,-2.9,1
-57.2,-19.4,1
-57,-19.5,1
-56.9,-16.8,2
-56.85,-16.8,21
-56.85,-16.7,34
-56.8,-17.4,9
-56.8,-17.3,3
-56.8,-16.7,7
-56.8,-16.6,1
-56.75,-19.4,20
-56.75,-17.4,9
-56.75,-17.3,1
-56.75,-16.7,39
-56.75,-16.6,98
-56.75,-16.5,14
-56.7,-19.2,1
-56.7,-17.3,29
-56.7,-16.6,3
-56.7,-16.5,12
-56.7,-16.4,75
-56.65,-17.8,3
-56.65,-17.2,4
-56.65,-16.4,21
-56.65,-16.3,23
-56.6,-20.1,1
-56.6,-16.4,91
-56.55,-21.3,1
-56.45,-21.2,1
-56.35,-20.4,4
-56.25,-15.7,6
-55.85,-15.4,1
-55.85,-15.3,1
-55.8,-15.4,4
-55.75,-15.5,1
-55.75,-15.4,1
-54.8,-20.6,3
-48.5,-27.8,1
-48.4,-23.5,6
-46.85,-23.3,2
-46.5,-20.2,5
-46.35,-23.9,6
-44.75,-23.2,7
-44.7,-23.2,6
-44.6,-22.5,1
-44.6,-22.4,11
-44.55,-22.5,3
-44.15,-23.1,1
-43.45,-23,1
-43.2,-23,3
-42.8,-22.5,4
-42.8,-22.4,1
-42.75,-22.5,35
-42.75,-22.4,5
-42.1,-22.9,4
-42.05,-22.9,1
-39,-4.8,8
-39,-4.7,10
-38.95,-4.7,2
-38.6,-12.5,6
-38.55,-12.6,2
-37.35,-4.7,2
